drug,disease
[16687],33577
[16687],36035
[20297],33577
[20297],36035
[16693],33577
[16693],36035
[14944],33577
[14944],36035
[15762],33577
[15762],36035
[14836],33577
[14836],36035
[14421],33577
[14421],36035
[14835],33577
[14835],36035
[16214],33577
[16214],36035
[14327],33577
[14327],36035
[14255],33577
[14255],36035
[16694],33577
[16694],36035
[20301],33577
[20301],36035
[14846],33577
[14846],36035
[16699],33577
[16699],36035
[14152],33577
[14152],36035
[16690],33577
[16690],36035
[16698],33577
[16698],36035
[14200],33577
[14200],36035
[15426],33577
[15426],36035
[15108],33577
[15108],36035
[17278],33577
[17278],36035
[14762],33577
[14762],36035
[14308],33577
[14308],36035
[14984],33577
[14984],36035
[15451],33577
[15451],36035
[15175],33577
[15175],36035
[14946],33577
[14946],36035
[15079],33577
[15079],36035
[16303],33577
[16303],36035
[14317],33577
[14317],36035
[15580],33577
[15580],36035
[17647],33577
[17647],36035
[16793],33577
[16793],36035
[14276],33577
[14276],36035
[14257],33577
[14257],36035
[15245],33577
[15245],36035
[15186],33577
[15186],36035
[14133],33577
[14133],36035
[14959],33577
[14959],36035
[17344],33577
[17344],36035
[19223],33577
[19223],36035
[14809],33577
[14809],36035
[17308],33577
[17308],36035
[16854],33577
[16854],36035
[14217],33577
[14217],36035
[14196],33577
[14196],36035
[14212],33577
[14212],36035
[14168],33577
[14168],36035
[15105],33577
[15105],36035
[14142],33577
[14142],36035
[15304],33577
[15304],36035
[14938],33577
[14938],36035
[14271],33577
[14271],36035
[14163],33577
[14163],36035
[14582],33577
[14582],36035
[14198],33577
[14198],36035
[17304],33577
[17304],36035
[15789],33577
[15789],36035
[20307],33577
[20307],36035
[15295],33577
[15295],36035
[14547],33577
[14547],36035
[15855],33577
[15855],36035
[15153],33577
[15153],36035
[14202],33577
[14202],36035
[20310],33577
[20310],36035
[14331],33577
[14331],36035
[14792],33577
[14792],36035
[14162],33577
[14162],36035
[15480],33577
[15480],36035
[14668],33577
[14668],36035
[15095],33577
[15095],36035
[14240],33577
[14240],36035
[14691],33577
[14691],36035
[16215],33577
[16215],36035
[14301],33577
[14301],36035
[14539],33577
[14539],36035
[20316],33577
[20316],36035
[17148],33577
[17148],36035
[15609],33577
[15609],36035
[14869],33577
[14869],36035
[15505],33577
[15505],36035
[15221],33577
[15221],36035
[14605],33577
[14605],36035
[15836],33577
[15836],36035
[20319],33577
[20319],36035
[14282],33577
[14282],36035
[15769],33577
[15769],36035
[15133],33577
[15133],36035
[14233],33577
[14233],36035
[16788],33577
[16788],36035
[16210],33577
[16210],36035
[14763],33577
[14763],36035
[15629],33577
[15629],36035
[14369],33577
[14369],36035
[14731],33577
[14731],36035
[14215],33577
[14215],36035
[16697],33577
[16697],36035
[15632],33577
[15632],36035
[20325],33577
[20325],36035
[14965],33577
[14965],36035
[16689],33577
[16689],36035
[14953],33577
[14953],36035
[15193],38121
[15291],38121
[14709],38121
[14321],38121
[17559],38121
[19207],38121
[16842],38121
[15193],28547
[15193],30093
[15193],31408
[15193],28974
[15193],28801
[15193],32759
[15193],32974
[15193],33241
[15812],28547
[15812],30093
[15812],31408
[15812],28974
[15812],28801
[15812],32759
[15812],32974
[15812],33241
[15291],28547
[15291],30093
[15291],31408
[15291],28974
[15291],28801
[15291],32759
[15291],32974
[15291],33241
[14139],28547
[14139],30093
[14139],31408
[14139],28974
[14139],28801
[14139],32759
[14139],32974
[14139],33241
[16315],28547
[16315],30093
[16315],31408
[16315],28974
[16315],28801
[16315],32759
[16315],32974
[16315],33241
[16056],28547
[16056],30093
[16056],31408
[16056],28974
[16056],28801
[16056],32759
[16056],32974
[16056],33241
[14830],28547
[14830],30093
[14830],31408
[14830],28974
[14830],28801
[14830],32759
[14830],32974
[14830],33241
[17270],28547
[17270],30093
[17270],31408
[17270],28974
[17270],28801
[17270],32759
[17270],32974
[17270],33241
[14321],28547
[14321],30093
[14321],31408
[14321],28974
[14321],28801
[14321],32759
[14321],32974
[14321],33241
[14220],28547
[14220],30093
[14220],31408
[14220],28974
[14220],28801
[14220],32759
[14220],32974
[14220],33241
[15124],28547
[15124],30093
[15124],31408
[15124],28974
[15124],28801
[15124],32759
[15124],32974
[15124],33241
[19207],28547
[19207],30093
[19207],31408
[19207],28974
[19207],28801
[19207],32759
[19207],32974
[19207],33241
[15493],28547
[15493],30093
[15493],31408
[15493],28974
[15493],28801
[15493],32759
[15493],32974
[15493],33241
[14831],28547
[14831],30093
[14831],31408
[14831],28974
[14831],28801
[14831],32759
[14831],32974
[14831],33241
[14452],28547
[14452],30093
[14452],31408
[14452],28974
[14452],28801
[14452],32759
[14452],32974
[14452],33241
[15138],28547
[15138],30093
[15138],31408
[15138],28974
[15138],28801
[15138],32759
[15138],32974
[15138],33241
[16054],28547
[16054],30093
[16054],31408
[16054],28974
[16054],28801
[16054],32759
[16054],32974
[16054],33241
[15333],28547
[15333],30093
[15333],31408
[15333],28974
[15333],28801
[15333],32759
[15333],32974
[15333],33241
[15772],28547
[15772],30093
[15772],31408
[15772],28974
[15772],28801
[15772],32759
[15772],32974
[15772],33241
[14904],28547
[14904],30093
[14904],31408
[14904],28974
[14904],28801
[14904],32759
[14904],32974
[14904],33241
[14806],28547
[14806],30093
[14806],31408
[14806],28974
[14806],28801
[14806],32759
[14806],32974
[14806],33241
[16842],28547
[16842],30093
[16842],31408
[16842],28974
[16842],28801
[16842],32759
[16842],32974
[16842],33241
[15003],28396
[15003],31524
[15003],28149
[15081],28396
[15081],31524
[15081],28149
[14831],28396
[14831],31524
[14831],28149
[14977],83750
[14211],83750
[20169],83751
[14153],35641
[14330],35641
[20354],35641
[15416],35641
[14192],35641
[15837],35641
[15834],35641
[15430],35641
[15297],35641
[16475],35641
[15466],35641
[17066],35641
[14141],35641
[20341],35641
[14505],35641
[17065],35641
[14993],35641
[14245],35641
[14522],35641
[14956],35641
[15475],35641
[15434],35641
[15311],35641
[15453],35641
[15835],35641
[14139],38003
[14139],83752
[14139],30324
[16056],38003
[16056],83752
[16056],30324
[14830],38003
[14830],83752
[14830],30324
[15124],38003
[15124],83752
[15124],30324
[16054],38003
[16054],83752
[16054],30324
[15421],32033
[15416],32033
[15099],32033
[20363],32033
[20364],32033
[17067],32033
[15841],32033
[15506],32033
[15430],32033
[15297],32033
[14653],32033
[20138],32033
[14963],32033
[14607],32033
[15513],32033
[17066],32033
[15570],32033
[17065],32033
[14609],32033
[20139],32033
[15518],32033
[20343],32033
[15517],32033
[14164],32033
[14976],32033
[14962],32033
[15457],32033
[14310],32033
[15519],32033
[15441],32033
[15052],32033
[17244],32033
[16794],32033
[17782],32033
[14137],32033
[17063],32033
[20128],32033
[15611],32033
[20365],83753
[15763],83753
[14250],83753
[14935],83753
[20366],83753
[14262],83753
[17411],83753
[14281],83753
[15422],83753
[15219],83753
[14028],83753
[15003],83753
[14019],83753
[17628],83753
[14819],83753
[20367],83753
[15084],83753
[14300],83753
[15604],83753
[20193],83753
[20322],83753
[20368],83753
[15296],83753
[20369],83753
[17412],83753
[20370],37617
[20370],30374
[15797],37617
[15797],30374
[14458],37617
[14458],30374
[14269],37617
[14269],30374
[15160],37617
[15160],30374
[14159],37617
[14159],30374
[14024],37617
[14024],30374
[15614],37617
[15614],30374
[14030],37617
[14030],30374
[15003],37617
[15003],30374
[14019],37617
[14019],30374
[17631],37617
[17631],30374
[15479],37617
[15479],30374
[14023],37617
[14023],30374
[20371],37830
