hypergraph_idx,kg_idx,node_name
0,16409,Eugenol
1,16410,Polyestradiol phosphate
2,16419,Amlexanox
3,16430,Nitrous acid
4,16434,Acetophenazine
5,16443,Stanozolol
6,16450,Andarine
7,16459,Triclosan
8,16465,Guanidine
9,16466,Daidzin
10,16468,Goserelin
11,16469,Menotropins
12,16471,Cetrorelix
13,16473,Chorionic Gonadotropin (Human)
14,16475,Phenacemide
15,16477,Tetrodotoxin
16,16478,Podofilox
17,16480,Depatuxizumab mafodotin
18,16490,Pheniramine
19,16495,Quizartinib
20,16496,Fumaric Acid
21,16502,Isatoribine
22,16505,Resiquimod
23,16506,Pentazocine
24,16508,Captodiame
25,16510,Bevacizumab
26,16511,Ranibizumab
27,16512,Pegaptanib
28,16513,ABT-510
29,16517,Aflibercept
30,16519,Brolucizumab
31,16521,Vasopressin
32,16523,Terlipressin
33,16531,Fenoterol
34,16532,Pirbuterol
35,16538,Xamoterol
36,16544,Dyclonine
37,16545,Proparacaine
38,16550,Dipyridamole
39,16554,Exisulind
40,16557,Epratuzumab
41,16558,Inotuzumab ozogamicin
42,16559,Moxetumomab Pasudotox
43,16570,Prilocaine
44,16572,Leuprolide
45,16573,Abarelix
46,16574,Gonadorelin
47,16575,Nafarelin
48,16578,Degarelix
49,16579,Ganirelix
50,16580,Histrelin
51,16581,Triptorelin
52,16582,Leucine
53,16587,Glymidine
54,16588,Metformin
55,16589,Alteplase
56,16590,Reteplase
57,16592,Tenecteplase
58,16593,Tranexamic acid
59,16595,Desmoteplase
60,16631,Arhalofenate
61,16634,Coagulation factor VIIa Recombinant Human
62,16635,Fondaparinux
63,16640,Idraparinux
64,16667,Edoxaban
65,16671,Emicizumab
66,16672,Baclofen
67,16674,gamma-Aminobutyric acid
68,16675,SGS-742
69,16677,Arbaclofen
70,16687,Fosinopril
71,16688,Candoxatril
72,16689,Moexipril
73,16690,Lisinopril
74,16691,Omapatrilat
75,16693,Cilazapril
76,16694,Spirapril
77,16697,Temocapril
78,16698,Enalaprilat
79,16699,Zofenopril
80,16711,Implitapide
81,16714,Tyloxapol
82,16719,Isosorbide
83,16720,Obatoclax
84,16721,Navitoclax
85,16723,Diacerein
86,16740,Forodesine
87,16741,Azelaic acid
88,16744,Hexylresorcinol
89,16753,Lenalidomide
90,16758,Alclofenac
91,16783,Daglutril
92,16786,Sacubitril
93,16788,Methyclothiazide
94,16790,Methocarbamol
95,16792,Methazolamide
96,16793,Chlorothiazide
97,16794,Ethinamate
98,16795,Diclofenamide
99,16801,Sodium sulfate
100,16802,Aurothioglucose
101,16818,Vintafolide
102,16824,Catumaxomab
